Date,Open,High,Low,Close,Adj Close,Volume
2015-01-27,98.050003,99.379997,97.760002,98.930000,91.974495,346300
2015-01-28,99.800003,100.949997,98.940002,99.889999,92.866997,478700
2015-01-29,100.129997,101.599998,99.029999,101.290001,94.168556,530700
2015-01-30,100.430000,101.169998,99.019997,99.050003,92.086052,468700
2015-02-02,99.599998,99.779999,96.760002,98.080002,91.184258,423200
2015-02-03,98.800003,99.440002,97.470001,99.370003,92.383560,286800
2015-02-04,98.320000,100.510002,98.269997,99.720001,92.708939,300900
2015-02-05,100.000000,100.419998,99.040001,99.739998,92.727531,230600
2015-02-06,99.769997,100.379997,98.949997,99.860001,92.839096,284000
2015-02-09,99.190002,99.870003,98.000000,98.629997,91.695564,250000
2015-02-10,99.330002,101.500000,99.199997,100.930000,93.833870,305600
2015-02-11,101.129997,101.339996,99.720001,100.449997,93.387596,219900
2015-02-12,100.510002,100.919998,99.570000,100.559998,93.489876,320000
2015-02-13,100.099998,100.639999,99.180000,100.000000,92.969269,228600
2015-02-17,100.000000,100.889999,99.459999,100.669998,93.592155,201900
2015-02-18,100.739998,102.089996,100.529999,101.849998,94.689194,366200
2015-02-19,102.230003,102.510002,101.570000,101.750000,94.596214,301000
2015-02-20,101.930000,103.080002,101.669998,102.500000,95.293480,461300
2015-02-23,102.529999,104.769997,102.500000,104.500000,97.152878,922400
2015-02-24,103.500000,106.459999,102.070000,103.529999,96.251076,1615800
2015-02-25,103.529999,104.919998,102.510002,103.930000,96.622963,661600
2015-02-26,103.900002,104.889999,103.690002,104.000000,96.688019,364600
2015-02-27,104.000000,104.000000,101.349998,101.529999,94.391670,667800
2015-03-02,101.910004,104.510002,101.739998,104.440002,97.097099,591700
2015-03-03,104.559998,104.559998,102.620003,102.830002,95.600273,476100
2015-03-04,102.150002,103.330002,101.730003,103.279999,96.018646,348000
2015-03-05,103.739998,104.519997,103.220001,103.379997,96.111603,303300
2015-03-06,103.099998,103.099998,100.680000,100.870003,93.778099,353800
2015-03-09,100.820000,101.949997,100.720001,101.360001,94.233643,319900
2015-03-10,100.970001,100.970001,99.019997,99.029999,92.067459,581200
2015-03-11,99.080002,99.449997,98.000000,98.160004,91.545181,489900
2015-03-12,98.169998,100.889999,98.160004,100.720001,93.932678,483600
2015-03-13,100.459999,101.250000,99.529999,99.720001,93.000053,212600
2015-03-16,100.410004,101.699997,100.000000,101.529999,94.688095,314600
2015-03-17,101.529999,102.419998,101.260002,102.150002,95.266312,314700
2015-03-18,102.150002,102.389999,100.639999,102.169998,95.284958,362100
